arm,locked_cvar_95,locked_downside_deviation,locked_sortino,locked_calmar,locked_max_drawdown,locked_drawdown_duration,realized_volatility,turnover,transaction_cost_paid,turnover_adjusted_net_return,constraint_violation_severity,infeasible_optimization_events,optimizer_recovery_success_rate,failed_rebalance_retention_rate,cash_ratio_due_to_infeasibility,exposure_drift,herfindahl_index,diversification_ratio,asset_class_cap_violation_severity,high_vol_return,normal_vol_return,stress_recovery_return,locked_cumulative_return,locked_annualized_return,locked_sharpe,valid_selected_cells,no_valid_candidate_cells,true_candidate_count,valid_candidate_count
Fixed Safe Portfolio Harness,-0.017791551699050907,0.13557807036905514,-0.24643108894832472,0.041708212005102496,-0.11898269353140788,81.57142857142857,0.13303676265936262,0.07800862368147733,0.006718395164462844,-0.036124317474551575,0.004907036379890037,0.0,1.0,1.0,0.02493214654897246,0.02493214654897246,0.057543462872558786,1.4252001595431012,0.0,-4.779749687768721e-05,-0.00047984703493778876,-0.0008337572995390118,-0.02940592231008873,-0.047293475718062764,-0.33691980047401027,7,0,1,1
Same-Budget Safe Configuration Search,-0.018559097851511913,0.14097572739333256,-0.13102830012564,0.13614176984054624,-0.118364569284006,81.85714285714286,0.1419713115821581,0.0781242209458507,0.00673141642222042,-0.031162391068117475,0.005022633644263415,0.0,1.0,1.0,0.013676418078689495,0.013676418078689495,0.05797256814724033,1.4245802772486793,0.0,-8.469961465349895e-06,-0.0004498095846946077,-0.0007843364012344885,-0.024430974645897052,-0.03747945644835734,-0.2119771820599282,7,0,12,6
Random Legal Harness Patch,-0.018559097851511913,0.14097572739333256,-0.13102830012564,0.13614176984054624,-0.118364569284006,81.85714285714286,0.1419713115821581,0.0781242209458507,0.00673141642222042,-0.031162391068117475,0.005022633644263415,0.0,1.0,1.0,0.013676418078689495,0.013676418078689495,0.05797256814724033,1.4245802772486793,0.0,-8.469961465349895e-06,-0.0004498095846946077,-0.0007843364012344885,-0.024430974645897052,-0.03747945644835734,-0.2119771820599282,7,0,12,6
TASE Typed Portfolio Harness Reconstruction,-0.01821452701452806,0.1381121501781942,-0.19436888420092963,0.12101685437295935,-0.12064109152816883,80.14285714285714,0.13725340842674583,0.07808017035552971,0.006724478454244861,-0.03423527550744367,0.004978583053942414,0.0,1.0,1.0,0.021092548624191663,0.021092548624191663,0.056825790336162876,1.4245819127746258,0.0,-4.863890227555353e-05,-0.0004660899165239578,-0.000808228532515165,-0.02751079705319881,-0.04287949024999081,-0.2935403344338007,7,0,12,7
Unconstrained Portfolio Harness Search,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,12,0
Portfolio Strategy Tuning Baseline,-0.01717505320566209,0.1323498314274774,0.22279523687211217,0.5988305847980799,-0.10026795821260805,78.57142857142857,0.13321017267259352,0.01985468511877692,0.0018463566318418462,-0.0012503946921496114,0.004759447023538826,0.0,1.0,1.0,0.037318232310064335,0.037318232310064335,0.035919563907196896,1.4245160110626502,0.0,7.859159642241573e-05,-0.00019141129066309039,-0.0005896167292312816,0.0005959619396922308,0.009580308764346552,0.1585624700309561,0,0,12,0
Equal Weight ETF Portfolio,-0.018251647924348545,0.14033640835894995,0.25512105460246476,0.7708361000527498,-0.11000155479520576,86.71428571428571,0.14413789080452516,0.007945578231292516,0.0008214285714285714,-0.002210987448481452,0.005164625850340136,0.0,1.0,1.0,0.0,0.0,0.025641025641025616,1.4258575394533555,0.0,7.478653960126754e-05,-0.0002760648511604753,-0.0005649377685789778,-0.0013895588770528797,0.0086910186120628,0.1571672509111995,0,0,1,0
Risk Parity Fixed Portfolio,-0.0133262268428225,0.10266164280259775,0.1777374287692739,0.7457061143976241,-0.08733526131930532,86.71428571428571,0.10599105771055935,0.007945578231292516,0.0008214285714285713,-0.005676699469418476,0.005164625850340135,0.0,1.0,1.0,1.1102230246251565e-16,1.1102230246251565e-16,0.05096194099190634,1.4516556257459463,0.0,5.0128388725815126e-05,-0.000272353006861244,-0.0004973724077148729,-0.004855270897989904,-0.0021149486300393754,0.067629331152433,0,0,1,0
60/40 Portfolio,-0.015857308471209065,0.11847250028348834,0.26976188434498327,0.9332833688214662,-0.10361632220931292,83.71428571428571,0.1242268863128384,0.007945578231292516,0.0008214285714285714,-0.008207488874851435,0.69516462585034,0.0,1.0,1.0,0.0,0.0,0.5199999999999999,1.2410503504255617,0.049999999999999926,-2.1458948941036728e-05,-0.00036049478602536485,-0.0004171214695614729,-0.007386060303422862,-0.0036032128395763197,0.14332044409591563,0,0,1,0
