arm,locked_sharpe,locked_cumulative_return,locked_max_drawdown,turnover,leakage_audit_pass_rate,pi_invariance_pass_rate,constraint_violation_count,pbo_estimate,is_oos_rank_correlation,validation_to_oos_degradation,deflated_sharpe_ratio,spa_like_pvalue,true_candidate_count,mean_split_candidate_count
MetaHarness Unconstrained,22.03732194696817,1149.2175972027478,-0.003068513346749,0.8119890586926999,0.0,1.0,2.4,0.0,0.5356309467332911,-1.7501013830839252,763.2755585357336,0.0169830169830169,1000,1000.0
Constrained Safe Search,0.5067537555112458,0.2489966296897874,-0.1682732069943047,0.1655046456440998,1.0,1.0,0.0,0.0,0.0,-0.2282829736585225,7.369441504242103,1.0,1000,1000.0
Random Legal Patch,0.5067537555112458,0.2489966296897874,-0.1682732069943047,0.1655046456440998,1.0,1.0,0.0,0.0,0.0,-0.2282829736585225,7.369441504242103,1.0,1000,1000.0
TASE Typed Harness,0.5067537555112458,0.2489966296897874,-0.1682732069943047,0.1655046456440998,1.0,1.0,0.0,0.0,0.0,-0.2282829736585225,7.369441504242103,1.0,1000,1000.0
Lightweight Strategy Evolution,0.4189995255210335,0.1560785121894891,-0.1833900580654972,0.0658406030406965,1.0,1.0,0.8571428571428571,0.5714285714285714,0.1855139171220049,0.0725423259199139,15.20754056137711,0.4605394605394605,1000,1000.0
SHARP-style Policy Baseline,0.5127739691705165,0.2520367040908604,-0.1655092652492896,0.1659139784316561,1.0,1.0,0.2857142857142857,0.7142857142857143,-0.4285714285714285,-0.2155170671989658,7.693272205650918,0.988582845725703,1000,1000.0
Equal Weight Buy Hold,0.4995969005913468,0.2443080954938217,-0.1682732069943048,0.1641405934173744,1.0,1.0,0.0,0.0,0.0,0.0,0.4995969005913468,1.0,1,
60/40 Proxy,0.4995969005913468,0.2443080954938217,-0.1682732069943048,0.1641405934173744,1.0,1.0,0.0,0.0,0.0,0.0,0.4995969005913468,1.0,1,
