arm,seed,split_id,candidate_id,reason,validation_score,locked_score_if_computed,why_not_selected
Unconstrained Portfolio Harness Search,0,6,Unconstrained Portfolio Harness Search-0-10,POLICY_SPECIFICATION_CHANGED;FUTURE_RETURN_LEAKAGE;CLEAN_PANEL_W_STAR_CHANGED,0.1612549433237453,0.061243048445400385,FAILED_HARD_GATE
Unconstrained Portfolio Harness Search,0,1,Unconstrained Portfolio Harness Search-0-4,POLICY_SPECIFICATION_CHANGED;FUTURE_RETURN_LEAKAGE;CLEAN_PANEL_W_STAR_CHANGED,0.1370149541177165,-0.146296012185906,FAILED_HARD_GATE
Unconstrained Portfolio Harness Search,0,1,Unconstrained Portfolio Harness Search-0-11,POLICY_SPECIFICATION_CHANGED;CLEAN_PANEL_W_STAR_CHANGED,0.1278832019399602,-0.19039282976856067,FAILED_HARD_GATE
Portfolio Strategy Tuning Baseline,0,0,Portfolio Strategy Tuning Baseline-0-5,POLICY_SPECIFICATION_CHANGED;CLEAN_PANEL_W_STAR_CHANGED,0.12779380584521396,-0.10631652368574661,FAILED_HARD_GATE
Unconstrained Portfolio Harness Search,0,2,Unconstrained Portfolio Harness Search-0-5,POLICY_SPECIFICATION_CHANGED;FUTURE_RETURN_LEAKAGE;CLEAN_PANEL_W_STAR_CHANGED,0.12574444017995362,0.1247151713282289,FAILED_HARD_GATE
Portfolio Strategy Tuning Baseline,0,0,Portfolio Strategy Tuning Baseline-0-6,POLICY_SPECIFICATION_CHANGED;CLEAN_PANEL_W_STAR_CHANGED,0.1251730750278808,-0.10532234595852533,FAILED_HARD_GATE
Portfolio Strategy Tuning Baseline,0,0,Portfolio Strategy Tuning Baseline-0-7,POLICY_SPECIFICATION_CHANGED;CLEAN_PANEL_W_STAR_CHANGED,0.1251730750278808,-0.10532234595852533,FAILED_HARD_GATE
Portfolio Strategy Tuning Baseline,0,0,Portfolio Strategy Tuning Baseline-0-4,POLICY_SPECIFICATION_CHANGED;CLEAN_PANEL_W_STAR_CHANGED,0.12252631002255424,-0.10484980113911112,FAILED_HARD_GATE
Unconstrained Portfolio Harness Search,0,1,Unconstrained Portfolio Harness Search-0-8,POLICY_SPECIFICATION_CHANGED;CLEAN_PANEL_W_STAR_CHANGED;LOOSE_COST_ACCOUNTING,0.11556605956073272,-0.20472223700535638,FAILED_HARD_GATE
Unconstrained Portfolio Harness Search,0,1,Unconstrained Portfolio Harness Search-0-7,POLICY_SPECIFICATION_CHANGED;CLEAN_PANEL_W_STAR_CHANGED,0.11215012974915788,-0.1931960607609613,FAILED_HARD_GATE
Unconstrained Portfolio Harness Search,0,0,Unconstrained Portfolio Harness Search-0-4,POLICY_SPECIFICATION_CHANGED;FUTURE_RETURN_LEAKAGE;CLEAN_PANEL_W_STAR_CHANGED,0.11124050956820358,-0.15238184593879547,FAILED_HARD_GATE
Unconstrained Portfolio Harness Search,0,1,Unconstrained Portfolio Harness Search-0-1,POLICY_SPECIFICATION_CHANGED;CLEAN_PANEL_W_STAR_CHANGED,0.11054760228972255,-0.19428563704704815,FAILED_HARD_GATE
Unconstrained Portfolio Harness Search,0,0,Unconstrained Portfolio Harness Search-0-3,POLICY_SPECIFICATION_CHANGED;CLEAN_PANEL_W_STAR_CHANGED;LOOSE_COST_ACCOUNTING,0.11044251903547554,-0.17920850192793736,FAILED_HARD_GATE
Unconstrained Portfolio Harness Search,0,0,Unconstrained Portfolio Harness Search-0-6,POLICY_SPECIFICATION_CHANGED;CLEAN_PANEL_W_STAR_CHANGED;LOOSE_COST_ACCOUNTING,0.1099266812935031,-0.16832107526402615,FAILED_HARD_GATE
Portfolio Strategy Tuning Baseline,0,1,Portfolio Strategy Tuning Baseline-0-5,POLICY_SPECIFICATION_CHANGED;CLEAN_PANEL_W_STAR_CHANGED,0.1062940434272541,-0.15782723155850678,FAILED_HARD_GATE
Portfolio Strategy Tuning Baseline,0,0,Portfolio Strategy Tuning Baseline-0-9,POLICY_SPECIFICATION_CHANGED;CLEAN_PANEL_W_STAR_CHANGED,0.10598590097159252,-0.1906390652000371,FAILED_HARD_GATE
Unconstrained Portfolio Harness Search,0,6,Unconstrained Portfolio Harness Search-0-8,POLICY_SPECIFICATION_CHANGED;CLEAN_PANEL_W_STAR_CHANGED;LOOSE_COST_ACCOUNTING,0.10318375376323462,0.042237846545531824,FAILED_HARD_GATE
Portfolio Strategy Tuning Baseline,0,1,Portfolio Strategy Tuning Baseline-0-6,POLICY_SPECIFICATION_CHANGED;CLEAN_PANEL_W_STAR_CHANGED,0.10252271013284496,-0.15566016261082294,FAILED_HARD_GATE
Portfolio Strategy Tuning Baseline,0,1,Portfolio Strategy Tuning Baseline-0-7,POLICY_SPECIFICATION_CHANGED;CLEAN_PANEL_W_STAR_CHANGED,0.10252271013284496,-0.15566016261082294,FAILED_HARD_GATE
Unconstrained Portfolio Harness Search,0,1,Unconstrained Portfolio Harness Search-0-10,POLICY_SPECIFICATION_CHANGED;FUTURE_RETURN_LEAKAGE;CLEAN_PANEL_W_STAR_CHANGED,0.10100793317341873,-0.1638801127799864,FAILED_HARD_GATE
Portfolio Strategy Tuning Baseline,0,1,Portfolio Strategy Tuning Baseline-0-4,POLICY_SPECIFICATION_CHANGED;CLEAN_PANEL_W_STAR_CHANGED,0.09946827501592687,-0.1545214241504686,FAILED_HARD_GATE
Unconstrained Portfolio Harness Search,0,4,Unconstrained Portfolio Harness Search-0-5,POLICY_SPECIFICATION_CHANGED;FUTURE_RETURN_LEAKAGE;CLEAN_PANEL_W_STAR_CHANGED,0.09940937196108708,0.2325712774018635,FAILED_HARD_GATE
Unconstrained Portfolio Harness Search,0,6,Unconstrained Portfolio Harness Search-0-11,POLICY_SPECIFICATION_CHANGED;CLEAN_PANEL_W_STAR_CHANGED,0.09927202171361174,0.03923098252665341,FAILED_HARD_GATE
Portfolio Strategy Tuning Baseline,0,0,Portfolio Strategy Tuning Baseline-0-1,POLICY_SPECIFICATION_CHANGED;CLEAN_PANEL_W_STAR_CHANGED,0.09825505388470726,-0.15241701822166706,FAILED_HARD_GATE
Portfolio Strategy Tuning Baseline,0,0,Portfolio Strategy Tuning Baseline-0-11,POLICY_SPECIFICATION_CHANGED;CLEAN_PANEL_W_STAR_CHANGED,0.09782592159846837,-0.18793793145670043,FAILED_HARD_GATE
Portfolio Strategy Tuning Baseline,0,0,Portfolio Strategy Tuning Baseline-0-10,POLICY_SPECIFICATION_CHANGED;CLEAN_PANEL_W_STAR_CHANGED,0.09782592159846837,-0.18793793145670043,FAILED_HARD_GATE
Unconstrained Portfolio Harness Search,0,6,Unconstrained Portfolio Harness Search-0-7,POLICY_SPECIFICATION_CHANGED;CLEAN_PANEL_W_STAR_CHANGED,0.09559473002983938,0.045533624519265556,FAILED_HARD_GATE
Unconstrained Portfolio Harness Search,0,6,Unconstrained Portfolio Harness Search-0-1,POLICY_SPECIFICATION_CHANGED;CLEAN_PANEL_W_STAR_CHANGED,0.09534422458648338,0.03800176763619198,FAILED_HARD_GATE
Unconstrained Portfolio Harness Search,0,0,Unconstrained Portfolio Harness Search-0-10,POLICY_SPECIFICATION_CHANGED;FUTURE_RETURN_LEAKAGE;CLEAN_PANEL_W_STAR_CHANGED,0.09495337206963833,-0.14761261308614038,FAILED_HARD_GATE
Portfolio Strategy Tuning Baseline,0,0,Portfolio Strategy Tuning Baseline-0-8,POLICY_SPECIFICATION_CHANGED;CLEAN_PANEL_W_STAR_CHANGED,0.09335740913266874,-0.1855584026499476,FAILED_HARD_GATE
Portfolio Strategy Tuning Baseline,0,0,Portfolio Strategy Tuning Baseline-0-2,POLICY_SPECIFICATION_CHANGED;CLEAN_PANEL_W_STAR_CHANGED,0.092127466195049,-0.14897421046309428,FAILED_HARD_GATE
Portfolio Strategy Tuning Baseline,0,0,Portfolio Strategy Tuning Baseline-0-3,POLICY_SPECIFICATION_CHANGED;CLEAN_PANEL_W_STAR_CHANGED,0.092127466195049,-0.14897421046309428,FAILED_HARD_GATE
Unconstrained Portfolio Harness Search,0,3,Unconstrained Portfolio Harness Search-0-5,POLICY_SPECIFICATION_CHANGED;FUTURE_RETURN_LEAKAGE;CLEAN_PANEL_W_STAR_CHANGED,0.08987188834542237,0.31877039880501806,FAILED_HARD_GATE
Portfolio Strategy Tuning Baseline,0,0,Portfolio Strategy Tuning Baseline-0-0,POLICY_SPECIFICATION_CHANGED;CLEAN_PANEL_W_STAR_CHANGED,0.08881237818886537,-0.14653770427147325,FAILED_HARD_GATE
Portfolio Strategy Tuning Baseline,0,6,Portfolio Strategy Tuning Baseline-0-5,POLICY_SPECIFICATION_CHANGED;CLEAN_PANEL_W_STAR_CHANGED,0.0865698694125778,0.04183899533829914,FAILED_HARD_GATE
Portfolio Strategy Tuning Baseline,0,6,Portfolio Strategy Tuning Baseline-0-6,POLICY_SPECIFICATION_CHANGED;CLEAN_PANEL_W_STAR_CHANGED,0.08455689862958068,0.042712841466757946,FAILED_HARD_GATE
Portfolio Strategy Tuning Baseline,0,6,Portfolio Strategy Tuning Baseline-0-7,POLICY_SPECIFICATION_CHANGED;CLEAN_PANEL_W_STAR_CHANGED,0.08455689862958068,0.042712841466757946,FAILED_HARD_GATE
Portfolio Strategy Tuning Baseline,0,6,Portfolio Strategy Tuning Baseline-0-4,POLICY_SPECIFICATION_CHANGED;CLEAN_PANEL_W_STAR_CHANGED,0.08337831509476878,0.0429879936640198,FAILED_HARD_GATE
Portfolio Strategy Tuning Baseline,0,1,Portfolio Strategy Tuning Baseline-0-1,POLICY_SPECIFICATION_CHANGED;CLEAN_PANEL_W_STAR_CHANGED,0.06436132125902333,-0.22966724568319985,FAILED_HARD_GATE
Portfolio Strategy Tuning Baseline,0,1,Portfolio Strategy Tuning Baseline-0-3,POLICY_SPECIFICATION_CHANGED;CLEAN_PANEL_W_STAR_CHANGED,0.05962923042281343,-0.22662471770030865,FAILED_HARD_GATE
Portfolio Strategy Tuning Baseline,0,1,Portfolio Strategy Tuning Baseline-0-2,POLICY_SPECIFICATION_CHANGED;CLEAN_PANEL_W_STAR_CHANGED,0.05962923042281343,-0.22662471770030865,FAILED_HARD_GATE
Unconstrained Portfolio Harness Search,0,1,Unconstrained Portfolio Harness Search-0-3,POLICY_SPECIFICATION_CHANGED;CLEAN_PANEL_W_STAR_CHANGED;LOOSE_COST_ACCOUNTING,0.05708732012968226,-0.2537902070612619,FAILED_HARD_GATE
Portfolio Strategy Tuning Baseline,0,1,Portfolio Strategy Tuning Baseline-0-0,POLICY_SPECIFICATION_CHANGED;CLEAN_PANEL_W_STAR_CHANGED,0.05668409678826415,-0.22414237876529114,FAILED_HARD_GATE
Portfolio Strategy Tuning Baseline,0,1,Portfolio Strategy Tuning Baseline-0-9,POLICY_SPECIFICATION_CHANGED;CLEAN_PANEL_W_STAR_CHANGED,0.054341372350831356,-0.26413988503079905,FAILED_HARD_GATE
Unconstrained Portfolio Harness Search,0,1,Unconstrained Portfolio Harness Search-0-6,POLICY_SPECIFICATION_CHANGED;CLEAN_PANEL_W_STAR_CHANGED;LOOSE_COST_ACCOUNTING,0.05389459549574585,-0.22757222146692513,FAILED_HARD_GATE
Portfolio Strategy Tuning Baseline,0,1,Portfolio Strategy Tuning Baseline-0-11,POLICY_SPECIFICATION_CHANGED;CLEAN_PANEL_W_STAR_CHANGED,0.04678583735316255,-0.25961031948988056,FAILED_HARD_GATE
Portfolio Strategy Tuning Baseline,0,1,Portfolio Strategy Tuning Baseline-0-10,POLICY_SPECIFICATION_CHANGED;CLEAN_PANEL_W_STAR_CHANGED,0.04678583735316255,-0.25961031948988056,FAILED_HARD_GATE
Portfolio Strategy Tuning Baseline,0,1,Portfolio Strategy Tuning Baseline-0-8,POLICY_SPECIFICATION_CHANGED;CLEAN_PANEL_W_STAR_CHANGED,0.04265363812271295,-0.2571249527233801,FAILED_HARD_GATE
Unconstrained Portfolio Harness Search,0,6,Unconstrained Portfolio Harness Search-0-6,POLICY_SPECIFICATION_CHANGED;CLEAN_PANEL_W_STAR_CHANGED;LOOSE_COST_ACCOUNTING,0.041204856232945765,-0.014319494652130234,FAILED_HARD_GATE
Unconstrained Portfolio Harness Search,0,0,Unconstrained Portfolio Harness Search-0-0,POLICY_SPECIFICATION_CHANGED;CLEAN_PANEL_W_STAR_CHANGED,0.03860694772922674,-0.23566709573254263,FAILED_HARD_GATE
Unconstrained Portfolio Harness Search,0,6,Unconstrained Portfolio Harness Search-0-0,POLICY_SPECIFICATION_CHANGED;CLEAN_PANEL_W_STAR_CHANGED,0.02934089434684642,-0.029853132926426967,FAILED_HARD_GATE
Portfolio Strategy Tuning Baseline,0,6,Portfolio Strategy Tuning Baseline-0-9,POLICY_SPECIFICATION_CHANGED;CLEAN_PANEL_W_STAR_CHANGED,0.025452736380273094,-0.024256630326829485,FAILED_HARD_GATE
Portfolio Strategy Tuning Baseline,0,6,Portfolio Strategy Tuning Baseline-0-1,POLICY_SPECIFICATION_CHANGED;CLEAN_PANEL_W_STAR_CHANGED,0.02276967147343458,0.016653079046962213,FAILED_HARD_GATE
