arm,locked_sharpe,locked_cumulative_return,locked_max_drawdown,turnover,leakage_audit_pass_rate,pi_invariance_pass_rate,constraint_violation_count,pbo_estimate,is_oos_rank_correlation,validation_to_oos_degradation,deflated_sharpe_ratio,spa_like_pvalue,true_candidate_count,mean_split_candidate_count
MetaHarness Unconstrained,3.869330609668123,1.7986146816257491,-0.06988872731240539,0.23078947368421052,0.0,1.0,3.0,0.0,0.7049645390070922,-0.43927216589399276,134.76556310032112,0.18461538461538463,12,12.0
Constrained Safe Search,0.4681122385726303,0.14760987022936906,-0.1403690314211236,0.1556390977443609,1.0,1.0,0.0,0.0,0.0,0.11379168950240812,21.012014244610754,1.0,12,12.0
Random Legal Patch,0.4681122385726303,0.14760987022936906,-0.1403690314211236,0.1556390977443609,1.0,1.0,0.0,0.0,0.0,0.11379168950240812,21.012014244610754,1.0,12,12.0
TASE Typed Harness,0.4681122385726303,0.14760987022936906,-0.1403690314211236,0.1556390977443609,1.0,1.0,0.0,0.0,0.0,0.11379168950240812,21.012014244610754,1.0,12,12.0
Lightweight Strategy Evolution,0.6599467859146969,0.23463073391919487,-0.14039946333718425,0.0901002506265664,1.0,1.0,1.0,0.2,0.1776223776223776,0.03427158919804059,25.497958818187854,0.4615384615384615,12,12.0
SHARP-style Policy Baseline,0.4681122385726303,0.14760987022936906,-0.1403690314211236,0.1556390977443609,1.0,1.0,0.4,0.2,0.0,0.11491342154222176,21.304786278987425,0.9384615384615385,12,12.0
Equal Weight Buy Hold,0.48047096866676575,0.15207340810628736,-0.1404438128327823,0.156203007518797,1.0,1.0,0.0,0.0,0.0,0.0,0.48047096866676575,1.0,1,
60/40 Proxy,0.48047096866676575,0.15207340810628736,-0.1404438128327823,0.156203007518797,1.0,1.0,0.0,0.0,0.0,0.0,0.48047096866676575,1.0,1,
