arm,locked_cvar_95,locked_downside_deviation,locked_sortino,locked_calmar,locked_max_drawdown,locked_drawdown_duration,realized_volatility,turnover,transaction_cost_paid,turnover_adjusted_net_return,constraint_violation_severity,infeasible_optimization_events,optimizer_recovery_success_rate,failed_rebalance_retention_rate,cash_ratio_due_to_infeasibility,exposure_drift,herfindahl_index,diversification_ratio,asset_class_cap_violation_severity,high_vol_return,normal_vol_return,stress_recovery_return,locked_cumulative_return,locked_annualized_return,locked_sharpe,valid_selected_cells,no_valid_candidate_cells,true_candidate_count,valid_candidate_count
Fixed Safe Portfolio Harness,-0.0175033971087653,0.1333251896497531,-0.2546578669024703,0.0317154747068133,-0.1174348278359277,81.57142857142857,0.1307396634491711,0.0778791886519439,0.0067051855590922,-0.0361472008602575,0.0047776013503566,0.0,1.0,1.0,0.0424536563438429,0.0224536563438429,0.0561486333002396,1.42440561040771,0.0,-5.007717346455007e-05,-0.0004748280774595,-0.0008220380871155,-0.0294420153011652,-0.0476871560857919,-0.3454881545525141,7,0,1,1
Same-Budget Safe Configuration Search,-0.0182402034549394,0.1385191636872292,-0.1378696733909798,0.1270053729072266,-0.1166703503574238,81.85714285714286,0.139424467472445,0.0779904906495195,0.0067178079380976,-0.0311510532726726,0.0048889033479322,0.0,1.0,1.0,0.0318020220443417,0.0118020220443417,0.0564875923496713,1.4240693567198022,0.0,-1.0693602010776906e-05,-0.0004443753945916,-0.0007727634072924,-0.024433245334575,-0.037826357059535,-0.2189672927271739,7,0,12,6
Random Legal Harness Patch,-0.0182402034549394,0.1385191636872292,-0.1378696733909798,0.1270053729072266,-0.1166703503574238,81.85714285714286,0.139424467472445,0.0779904906495195,0.0067178079380976,-0.0311510532726726,0.0048889033479322,0.0,1.0,1.0,0.0318020220443417,0.0118020220443417,0.0564875923496713,1.4240693567198022,0.0,-1.0693602010776906e-05,-0.0004443753945916,-0.0007727634072924,-0.024433245334575,-0.037826357059535,-0.2189672927271739,7,0,12,6
TASE Typed Portfolio Harness Reconstruction,-0.0179218548031471,0.1358433384582885,-0.2021977896485381,0.11146112391613,-0.1191103418191952,80.14285714285714,0.134901108572075,0.0779504929800356,0.0067115083051538,-0.0343459868091515,0.0048489056784484,0.0,1.0,1.0,0.0386538554450299,0.0186538554450298,0.0554619237655663,1.4237411290321702,0.0,-5.208144451766339e-05,-0.0004611139593777,-0.000797338277032,-0.0276344785039976,-0.0434359952398185,-0.301838025490419,7,0,12,7
Unconstrained Portfolio Harness Search,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,12,0
Portfolio Strategy Tuning Baseline,-0.0168742173902553,0.1300292792940842,0.2240685796220083,0.5989341582079472,-0.0985338851059836,78.57142857142857,0.1308679068267893,0.0197298569263783,0.0018338855731946,-0.0011849750612457,0.0046346188311402,0.0,1.0,1.0,0.0539399560974271,0.0339399560974271,0.0349254032425675,1.4246723916894275,0.0,7.805085456411518e-05,-0.0001886433655133,-0.0005803462971027,0.0006489105119488,0.0094035489241455,0.1598060870691184,0,0,12,0
Equal Weight ETF Portfolio,-0.0178866149658615,0.1375296801917709,0.2551210546024651,0.7685373418077222,-0.1078914172543152,86.71428571428571,0.1412551329884346,0.0077866666666666,0.0008049999999999,-0.0021725059483008,0.0050057142857142,0.0,1.0,1.0,0.02,0.0,0.024625641025641,1.4258575394533552,0.0,7.329080880924211e-05,-0.0002705435541372,-0.0005536390132073,-0.0013675059483008,0.0082916802015804,0.1571672509111998,0,0,1,0
Risk Parity Fixed Portfolio,-0.013059702305966,0.1006084099465457,0.1777374287692737,0.7436173561496496,-0.0856508003090116,86.71428571428571,0.1038712365563481,0.0077866666666666,0.000805,-0.0055793469043185,0.0050057142857142,0.0,1.0,1.0,0.0199999999999997,2.220446049250313e-16,0.0489438481286268,1.4516556257459463,0.0,4.912582095129872e-05,-0.000266905946724,-0.0004874249595605,-0.0047743469043185,-0.0022464121280044,0.0676293311524328,0,0,1,0
60/40 Portfolio,-0.015857308471209,0.1184725002834883,0.2697618843449832,0.9332833688214662,-0.1036163222093129,83.71428571428571,0.1242268863128384,0.0079455782312925,0.0008214285714285,-0.0082074888748514,0.69516462585034,0.0,1.0,1.0,0.0,0.02,0.5199999999999999,1.2410503504255617,0.0499999999999999,-2.1458948941036728e-05,-0.0003604947860253,-0.0004171214695614,-0.0073860603034228,-0.0036032128395763,0.1433204440959156,0,0,1,0
