arm,locked_sharpe,locked_cumulative_return,locked_max_drawdown,validation_to_locked_degradation,turnover,hit_rate,active_asset_count,cash_ratio,leakage_violation_count,strategy_boundary_violation_count,availability_audit_pass_rate,constraint_violation_count,valid_selection_rate,true_candidate_count,valid_candidate_count
Unconstrained Search,1.448557883068152,0.06655379227280188,-0.1076562492244559,-0.29177947400990045,0.1698540965207632,0.45454545454545453,24.152525252525255,0.19236812570145903,0.2,0.7333333333333333,0.8,1.4,0.8,300,7
Constrained Safe Search,0.7304239075729976,0.059921992395362285,-0.13292963756127438,-0.2539524412677933,0.2003097643097643,0.5286195286195287,30.0,0.013333333333333216,0.0,0.0,1.0,0.0,1.0,300,300
Random Legal Patch,0.7327946544333888,0.06217839816947709,-0.13393819830202597,-0.2664477009107267,0.20224062850729518,0.528956228956229,29.9996632996633,0.00401122334455664,0.0,0.0,1.0,0.0,1.0,300,300
TASE Typed Harness,0.7304239075729976,0.059921992395362285,-0.13292963756127438,-0.2539524412677933,0.2003097643097643,0.5286195286195287,30.0,0.013333333333333216,0.0,0.0,1.0,0.0,1.0,300,300
Lightweight Strategy Tuning,0.8053875861388521,0.06435065862904485,-0.1256989388590331,0.2686710586744091,0.07419753086419753,0.5303030303030304,35.0,0.0,0.0,1.0,1.0,1.0,1.0,270,270
