arm,locked_cvar_95,locked_downside_deviation,locked_sortino,locked_calmar,locked_max_drawdown,locked_drawdown_duration,realized_volatility,turnover,transaction_cost_paid,turnover_adjusted_net_return,constraint_violation_severity,infeasible_optimization_events,optimizer_recovery_success_rate,failed_rebalance_retention_rate,cash_ratio_due_to_infeasibility,exposure_drift,herfindahl_index,diversification_ratio,asset_class_cap_violation_severity,high_vol_return,normal_vol_return,stress_recovery_return,locked_cumulative_return,locked_annualized_return,locked_sharpe,valid_selected_cells,no_valid_candidate_cells,true_candidate_count,valid_candidate_count
Fixed Safe Portfolio Harness,-0.0180485901883981,0.1247705039562683,0.359611328694253,0.2459106792149763,-0.1787680668646716,305.85714285714283,0.1127982693928788,0.0681033744483741,0.0418952014871495,0.0769338025241427,0.0008380202318833,0.0,1.0,1.0,0.0217370491363695,0.0217370491363695,0.0582365787437083,1.4691459948654486,0.0,0.0005656737045081,0.0001451218775862,0.0001522647167606,0.1188290040112922,0.0405091661243419,0.4043463075090239,35,0,5,5
Same-Budget Safe Configuration Search,-0.0174208867222355,0.1217309252560442,0.1202870101586743,0.1881691267813999,-0.2021451267886414,335.2857142857143,0.1117765441633588,0.0498581211422096,0.0301758792390093,0.0795400212067303,0.0006537182751984,5.142857142857143,0.9942279942279942,1.0,0.2476033554394004,0.2476033554394004,0.0515733596193212,1.2614622185868494,0.0,0.0015357480061281,9.99539415962622e-05,9.62077965220546e-05,0.1097159004457396,0.0347628792682073,0.1464599372556028,35,0,500,500
Random Legal Harness Patch,-0.01103940999746,0.0790727251016312,-0.0965930678030127,0.0289651343486183,-0.1593646906827261,426.8571428571428,0.071395321179073,0.0135300246471832,0.008218400714189,-0.0096357576033261,0.0001685495610047,14.4,0.9838383838383836,1.0,0.6839750752249256,0.6839750752249256,0.0329663410715834,0.9545730030034796,0.0,0.0008093856923673,1.3418275458485909e-05,2.5674151346179646e-05,-0.001417356889137,-0.0022520237208,-0.105062680441169,35,0,500,500
TASE Typed Portfolio Harness Reconstruction,-0.0160486526226459,0.112397203449292,0.1074193338687909,0.1700361606230241,-0.1954002264404084,310.0,0.1029239021922023,0.0449511777305794,0.0259026381123813,0.0645065947497917,0.0006321178534654,15.428571428571429,0.9826839826839826,1.0,0.2570981982488088,0.2570981982488088,0.050236418135101,1.3060897802675142,0.0,0.0013991683821122,7.791319867372322e-05,6.471853859725195e-05,0.090409232862173,0.0283805273679767,0.1342813424878569,35,0,500,500
Unconstrained Portfolio Harness Search,,,,,,,,,,,,,,,,,,,,,,,,,,0,35,500,0
Portfolio Strategy Tuning Baseline,-0.0188208136496747,0.1328402305978594,0.5299436518538356,0.4025941345620051,-0.1819342610983265,239.14285714285717,0.1210735681580044,0.0281138347910186,0.0176754435359628,0.1730235263329692,0.0008797219755125,0.0,1.0,1.0,0.0036867924098223,0.0036867924098223,0.0459067381457169,1.3950171682056358,0.0,0.0007224741211059,0.0002265247078793,0.0002577816575886,0.1906989698689321,0.0638142932247502,0.5836191374760992,0,0,480,0
Equal Weight ETF Portfolio,-0.0195798565001018,0.1383544011262446,0.6750478303028029,0.4881775173342024,-0.1892064580451964,222.7142857142857,0.1275161201224847,0.0014320791587537,0.0006071428571428,0.2465764670308693,0.0009308514531899,0.0,1.0,1.0,0.0,0.0,0.0256410256410256,1.423166193404385,0.0,0.0010235645992893,0.0003072770496938,0.0003231312922615,0.2471836098880122,0.0825321699076887,0.7287938977005779,0,0,1,0
Risk Parity Fixed Portfolio,-0.0118047117088459,0.0842290944557637,0.769349397446321,0.5827418920709426,-0.1177114251176039,221.8571428571429,0.0775713732742018,0.0014320791587537,0.0006071428571428,0.1710688751159367,0.0553396413480678,0.0,1.0,1.0,2.220446049250313e-16,2.220446049250313e-16,0.0761838219548928,1.5463522157061835,0.0,0.0006462151379415,0.0002080013346588,0.0002103014815546,0.1716760179730796,0.0585504463838842,0.8298512591313537,0,0,1,0
60/40 Portfolio,-0.0148602589055928,0.102670819808472,0.9340542647674072,0.8611468710274328,-0.1293689538217395,177.14285714285714,0.0964533868219996,0.0014320791587537,0.0006071428571428,0.260197922900774,0.6909308514531898,0.0,1.0,1.0,0.0,0.0,0.5199999999999999,1.3059748702213698,0.0499999999999999,0.0007645308506788,0.0003132048659457,0.0003013912172679,0.2608050657579168,0.086793691386565,0.99167551076176,0,0,1,0
