date,ticker,reason
,ARKK,insufficient_history
,MTUM,insufficient_history
,QUAL,insufficient_history
,SIZE,insufficient_history
,SPLV,insufficient_history
,USMV,insufficient_history
,VLUE,insufficient_history
,XLRE,insufficient_history
