arm,locked_cvar_95,locked_downside_deviation,locked_sortino,locked_calmar,locked_max_drawdown,locked_drawdown_duration,realized_volatility,turnover,transaction_cost_paid,turnover_adjusted_net_return,constraint_violation_severity,infeasible_optimization_events,optimizer_recovery_success_rate,failed_rebalance_retention_rate,cash_ratio_due_to_infeasibility,exposure_drift,herfindahl_index,diversification_ratio,asset_class_cap_violation_severity,high_vol_return,normal_vol_return,stress_recovery_return,locked_cumulative_return,locked_annualized_return,locked_sharpe,valid_selected_cells,no_valid_candidate_cells,true_candidate_count,valid_candidate_count
Fixed Safe Portfolio Harness,-0.018048590188398116,0.12477050395626839,0.35961132869425305,0.2459106792149763,-0.17876806686467162,305.85714285714283,0.11279826939287882,0.0681033744483741,0.041895201487149515,0.07693380252414271,0.0008380202318833774,0.0,1.0,1.0,0.021737049136369528,0.02173704913636953,0.05823657874370834,1.4691459948654486,0.0,0.0005656737045081098,0.00014512187758626061,0.00015226471676065698,0.11882900401129223,0.040509166124341904,0.4043463075090239,70,0,10,10
Same-Budget Safe Configuration Search,-0.01742088672223551,0.1217309252560442,0.12028701015867438,0.18816912678139996,-0.20214512678864144,335.2857142857143,0.1117765441633588,0.04985812114220966,0.03017587923900934,0.07954002120673033,0.0006537182751984973,5.142857142857143,0.9942279942279942,1.0,0.24760335543940043,0.24760335543940043,0.05157335961932128,1.2614622185868494,0.0,0.0015357480061281754,9.995394159626219e-05,9.62077965220546e-05,0.10971590044573966,0.03476287926820733,0.1464599372556028,70,0,1000,1000
Random Legal Harness Patch,-0.01108636246691345,0.07980667895134945,-0.055345352503317714,0.03994095443441333,-0.15043992006079523,385.7857142857143,0.07133442869292916,0.020034998476235848,0.012158720382532712,-0.0006077389426504586,0.0002788456135262715,18.0,0.9797979797979798,1.0,0.6216841250664864,0.6216841250664864,0.03332240822785688,0.9450787622114283,0.0,0.0007829576100534565,2.0284982646907255e-05,3.6809438356395365e-05,0.011550981439882254,0.00241568920393423,-0.06048386518777643,70,0,1000,1000
TASE Typed Portfolio Harness Reconstruction,-0.016048652622645956,0.11239720344929206,0.10741933386879096,0.17003616062302418,-0.19540022644040844,310.0,0.10292390219220239,0.044951177730579474,0.025902638112381308,0.06450659474979178,0.0006321178534654617,15.428571428571429,0.9826839826839826,1.0,0.25709819824880886,0.25709819824880886,0.050236418135101046,1.3060897802675142,0.0,0.0013991683821122794,7.791319867372322e-05,6.471853859725195e-05,0.09040923286217309,0.028380527367976742,0.13428134248785698,70,0,1000,1000
Unconstrained Portfolio Harness Search,,,,,,,,,,,,,,,,,,,,,,,,,,0,70,1000,0
Portfolio Strategy Tuning Baseline,-0.01882081364967479,0.13284023059785943,0.5299436518538356,0.4025941345620051,-0.18193426109832656,239.14285714285714,0.12107356815800441,0.028113834791018658,0.017675443535962846,0.17302352633296925,0.0008797219755125284,0.0,1.0,1.0,0.0036867924098223626,0.0036867924098223704,0.045906738145716997,1.3950171682056358,0.0,0.0007224741211059688,0.00022652470787930357,0.0002577816575886036,0.1906989698689321,0.0638142932247502,0.5836191374760992,0,0,960,0
Equal Weight ETF Portfolio,-0.01957985650010183,0.1383544011262446,0.6750478303028029,0.4881775173342024,-0.18920645804519645,222.71428571428572,0.12751612012248476,0.0014320791587537779,0.0006071428571428572,0.24657646703086936,0.0009308514531899556,0.0,1.0,1.0,0.0,0.0,0.025641025641025623,1.4231661934043853,0.0,0.001023564599289321,0.0003072770496938537,0.0003231312922615963,0.24718360988801222,0.08253216990768873,0.7287938977005779,0,0,1,0
Risk Parity Fixed Portfolio,-0.011804711708845993,0.08422909445576372,0.769349397446321,0.5827418920709426,-0.11771142511760395,221.85714285714286,0.07757137327420188,0.0014320791587537776,0.000607142857142857,0.17106887511593674,0.05533964134806782,0.0,1.0,1.0,2.220446049250313e-16,2.220446049250313e-16,0.07618382195489284,1.5463522157061835,0.0,0.0006462151379415769,0.00020800133465888546,0.0002103014815546816,0.1716760179730796,0.05855044638388428,0.8298512591313537,0,0,1,0
60/40 Portfolio,-0.014860258905592895,0.10267081980847208,0.9340542647674072,0.8611468710274328,-0.12936895382173957,177.14285714285714,0.09645338682199961,0.0014320791587537779,0.0006071428571428572,0.260197922900774,0.6909308514531898,0.0,1.0,1.0,0.0,0.0,0.5199999999999999,1.3059748702213698,0.04999999999999993,0.0007645308506788907,0.0003132048659457009,0.00030139121726794244,0.26080506575791684,0.08679369138656504,0.99167551076176,0,0,1,0
