arm,validation_score_mean,validation_score_std,locked_test_score_mean,locked_test_score_std,validation_test_gap_mean,validation_test_gap_std,constraint_compliant_score_mean,constraint_compliant_score_std,leakage_violations_mean,leakage_violations_std,silent_skip_count_mean,silent_skip_count_std,risk_violations_mean,risk_violations_std,unsafe_accepted_patch_rate_mean,unsafe_accepted_patch_rate_std,accepted_patch_count_mean,accepted_patch_count_std,rejected_patch_count_mean,rejected_patch_count_std
Generic Unconstrained,12.794999152639255,1.4240995930625688,-22.430315919498394,1.742499216303546,35.225315072137654,2.481347295281641,-47.50531591949839,1.9700698353210757,2.0,0.0,55.4,33.69421315300299,124.4,66.08555061433627,1.0,0.0,2.8,1.6431676725154984,0.0,0.0
Constrained Fixed,-31.84487528883909,2.4952258292796277,-21.87079000407701,1.327646171597717,-9.974085284762083,3.355864205529077,-22.73579000407701,1.3148425986062495,0.0,0.0,0.0,0.0,30.6,4.159326868617084,0.0,0.0,0.0,0.0,0.0,0.0
Random Legal Patch,-35.621174076762514,2.4435123009041146,-26.15538883831831,2.7499450990729484,-9.465785238444207,3.1197598229634718,-27.01538883831831,2.7105537449837738,0.0,0.0,0.0,0.0,28.8,4.207136793592526,0.0,0.0,30.0,0.0,68.8,4.658325879540846
TASE Finance-Constrained,-29.887534877745917,3.395244590159876,-22.69006237431721,1.3242633309005822,-7.197472503428713,4.595630035204568,-23.50006237431721,1.3367939742379067,0.0,0.0,0.0,0.0,30.8,5.890670590009257,0.0,0.0,0.6,0.8944271909999159,58.8,9.628083921528727
